ano,mes,valor
2020,1,17138.25
2020,2,17108.41
2020,3,13581.81
2020,4,16233.05
2020,5,16846.13
2020,6,20680.72
2020,7,24026.27
2020,8,31386.8
2020,9,21515.15
2020,10,22162.99
2020,11,26735.16
2020,12,28358.12
2021,1,15817.11
2021,2,19925.23
2021,3,26223.24
2021,4,23097.71
2021,5,23780.78
2021,6,22137.63
2021,7,19122.37
2021,8,14574.03
2021,9,17084.760000000002
2021,10,12559.57
2021,11,14325.369999999999
2021,12,9996.66
2022,1,20832.61
2022,2,20042.69
2022,3,27736.19
2022,4,21445.01
2022,5,31344.05
2022,6,25557.78
2022,7,19190.82
2022,8,24246.0
2022,9,18901.86
2022,10,16412.3
2022,11,19550.74
2022,12,11516.3
2023,1,28714.75
2023,2,16870.03
2023,3,16720.78
2023,4,16726.65
2023,5,18021.87
2023,6,20070.77
2023,7,26122.96
2023,8,17372.59
2023,9,25849.78
2023,10,14541.210000000001
2023,11,22832.52
2023,12,20654.329999999998
2024,1,29916.13
2024,2,23807.3
2024,3,16436.43
2024,4,15443.17
2024,5,15822.56
2024,6,22554.07
2024,7,27716.08
2024,8,22933.69
2024,9,19383.94
2024,10,22984.21
2024,11,23565.96
2024,12,10938.92
